Comuna;ID_BARRIO;Barrio;DIRECCION;ESCENARIO;Tipo Espacio;TIPO ESCENENARIO;EQUIPAMIENTO;PROGRAMAS SECRETARIA DE DEPORTE;GRAMA NATURAL;SINTETICA;MULTIPLE;BALONCESTO;VOLEIBOL;PISCINA ADULTOS;PISCINA NI�OS;JUEGOS INFANTILES;BIOSALUDABLES;PISTA PATINAJE;PISTA DE TROTE;PISTA BMX;TENIS;TEJO;HOCKEY;FUTSALA;MICROFUTB;VOLEY PLAYA
6;10;Floralia II;C 72F # 5-59;Parque Recreativo Para 3 Edad Remansos De Amor;Cerrado;PARQUE RECREATIVO;Cancha Multiple- Edificacion;No Tiene;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;10;Floralia II;C 72J # 3AN - 00;Polideportivo La Estacion;Cerrado;POLIDEPORTIVO;Cancha Grama Natural- Cancha Multiple- Cancha De Futbol 5- Juegos Infantiles- Pista De Trote- Biosaludables- Cancha De Tenis- Edificacion;Cuerpo Y Espiritu- Deporvida (Atletismo- Tenis- Futbol)- Vive El Parque;2;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0
6;10;Floralia 1a;C 77 # 3AN - 00;Polideportivo Las Americas;Cerrado;POLIDEPORTIVO;Cancha Multiple- Juegos Infantiles;Deporvida (Futbol);0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;10;Floralia Uno Sector Dos;C 77 # 5N - 00;Polideportivo Cecilia Munoz Ricaute (Kokorico);Cerrado;POLIDEPORTIVO;Cancha Grama Natural- Cancha De Baloncesto- Cancha De Futbol 5- Biosaludables- Edificacion- Cancha Sintetica- Juegos Infantiles;Deporvida (Futbol)- Deporte Comunitario;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
6;10;Floralia Sector Uno;C 83C # 4N - 00;Parque Infantil La Virgen;Abierto;PARQUE;Juegos Infantiles;No Tiene;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;10;Floralia Sector Uno;C 84 # 4N - 00;Cancha Multiple Jarillon Rio Cauca Muller;Abierto;CANCHA MULTIPLE;Cancha Baloncesto;No Tiene;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;10;Floralia 1a;K 2N # 79 - 00;Cancha De Baloncesto La Bombonera;Abierto;CANCHA ;Cancha De Futbol 5;No Tiene;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;10;Floralia III;K 3N #  72A - 00;Escenario Deportivo Pascualito;Abierto;ESCENARIO DEPORTIVO;Cancha Multiple- Cancha Sintetica-Juegos Infantiles-Pista De Trote;No Tiene;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
6;10;Floralia 1a;K 3N # 84 - 00;Cancha De Futbol 5 La 84;Abierto;CANCHA ;Cancha De Futbol 5;No Tiene;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;10;Floralia II;K 8N # 72F - 00;Polideportivo Florialita;Cerrado;POLIDEPORTIVO;Cancha Grama Natural- Cancha Multiple- Juegos Infantiles- Pista De Trote;Deporvida (Futbol);1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
6;10;Floralia II;K 9N # 72C - 00;Cancha De Futbol Pipirinai;Abierto;CANCHA ;Biosaludables - Cancha Multiple;No Tiene;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6;10;Floralia Sector Uno;K 9N # 83F - 86;Polideportivo Cancha De Futbol Muller;Cerrado;POLIDEPORTIVO;Cancha Grama Natural- Juegos Infantiles- Pista De Trote- Biosaludables- Cancha Multiple;Deporte Comunitario- Deporvida;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
6;95;Fonaviemcali;K 1A5 # 70 - 00;Parque Recreativo Fonaviemcali;Abierto;PARQUE RECREATIVO;Cancha Multiple- Juegos Infantiles;Cuerpo Y Espiritu;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;95;Fonaviemcali;K 1A5 # 70 - 00;Cancha Multiple Barrio Fonaviemcali;Abierto;CANCHA MULTIPLE;Cancha Multiple- Juegos Infantiles;No Tiene;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;96;San Luis II;C 72C # 1A4 - 00;Polideportivo San Luis II;Cerrado;POLIDEPORTIVO;Cancha Grama Natural- Cancha Multiple- Edificacion- Cancha Sintetica- Biosaludables;Deporvida(Futbol- Futsala);1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6;96;San Luis II;C 73A # 1A1 - 00;Parque La Cruz;Abierto;PARQUE;Sin Equipamento;Cuerpo Y Espiritu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;96;San Luis II;K 1A1 # 72D - 00;Parque Tertuliadero San Luis II;Abierto;PARQUE;Biosaludables- Cancha Multiple- Edificacion;Canas Y Ganas;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
